experiment,protocol,k,nodes,workers,rate,run,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,duration_s
C_nodes,Tusk,0,20,1,50000,1,44770.0,22922357.0,961.0,44642.0,22856848.0,1289.0,60.0
C_nodes,Tusk,0,20,1,50000,2,44865.0,22970722.0,907.0,44699.0,22886087.0,1202.0,60.0
C_nodes,Tusk,0,20,1,50000,3,44502.0,22784866.0,963.0,44380.0,22722354.0,1251.0,60.0
C_nodes,MP3-BFT++_k4,4,4,1,50000,1,41247.0,21118431.0,567.0,41127.0,21056794.0,712.0,60.0
C_nodes,MP3-BFT++_k4,4,4,1,50000,2,41379.0,21186214.0,559.0,41263.0,21126820.0,703.0,60.0
C_nodes,MP3-BFT++_k4,4,4,1,50000,3,48450.0,24806502.0,551.0,48311.0,24735297.0,696.0,60.0
C_nodes,MP3-BFT++_k4,4,10,1,50000,1,45453.0,23272167.0,700.0,45211.0,23148067.0,918.0,60.0
C_nodes,MP3-BFT++_k4,4,10,1,50000,2,44552.0,22810562.0,645.0,44312.0,22687889.0,857.0,60.0
C_nodes,MP3-BFT++_k4,4,10,1,50000,3,44756.0,22914825.0,642.0,44516.0,22792050.0,856.0,60.0
C_nodes,MP3-BFT++_k4,4,20,1,50000,1,45111.0,23096962.0,724.0,44947.0,23012856.0,1031.0,60.0
C_nodes,MP3-BFT++_k4,4,20,1,50000,2,44387.0,22726392.0,743.0,44308.0,22685811.0,1030.0,60.0
C_nodes,MP3-BFT++_k4,4,20,1,50000,3,43757.0,22403404.0,781.0,43593.0,22319625.0,1095.0,60.0
