engine,scenario,accounts,overhead_us,threads,run,tps
LEAP-base,Hotspot_90pct,1000,0,16,0,672613
LEAP-base,Hotspot_90pct,1000,0,16,1,693845
LEAP-base,Hotspot_90pct,1000,0,16,2,453039
LEAP-base,Hotspot_90pct,1000,0,16,3,363445
LEAP-base,Hotspot_90pct,1000,0,16,4,434465
LEAP-base,Hotspot_90pct,1000,0,16,5,796365
LEAP-base,Hotspot_90pct,1000,0,16,6,664122
LEAP,Hotspot_90pct,1000,0,1,0,296101
LEAP,Hotspot_90pct,1000,0,1,1,292135
LEAP,Hotspot_90pct,1000,0,1,2,287506
LEAP,Hotspot_90pct,1000,0,1,3,292628
LEAP,Hotspot_90pct,1000,0,1,4,299351
LEAP,Hotspot_90pct,1000,0,1,5,301588
LEAP,Hotspot_90pct,1000,0,1,6,297015
LEAP,Hotspot_90pct,1000,0,2,0,309217
LEAP,Hotspot_90pct,1000,0,2,1,306687
LEAP,Hotspot_90pct,1000,0,2,2,338186
LEAP,Hotspot_90pct,1000,0,2,3,359523
LEAP,Hotspot_90pct,1000,0,2,4,363710
LEAP,Hotspot_90pct,1000,0,2,5,344062
LEAP,Hotspot_90pct,1000,0,2,6,314786
LEAP,Hotspot_90pct,1000,0,4,0,415355
LEAP,Hotspot_90pct,1000,0,4,1,358999
LEAP,Hotspot_90pct,1000,0,4,2,423804
LEAP,Hotspot_90pct,1000,0,4,3,347376
LEAP,Hotspot_90pct,1000,0,4,4,396455
LEAP,Hotspot_90pct,1000,0,4,5,401006
LEAP,Hotspot_90pct,1000,0,4,6,411994
LEAP,Hotspot_90pct,1000,0,8,0,525051
LEAP,Hotspot_90pct,1000,0,8,1,590950
LEAP,Hotspot_90pct,1000,0,8,2,529182
LEAP,Hotspot_90pct,1000,0,8,3,518665
LEAP,Hotspot_90pct,1000,0,8,4,531068
LEAP,Hotspot_90pct,1000,0,8,5,559502
LEAP,Hotspot_90pct,1000,0,8,6,582251
LEAP,Hotspot_90pct,1000,0,16,0,485551
LEAP,Hotspot_90pct,1000,0,16,1,775440
LEAP,Hotspot_90pct,1000,0,16,2,816115
LEAP,Hotspot_90pct,1000,0,16,3,819705
LEAP,Hotspot_90pct,1000,0,16,4,694605
LEAP,Hotspot_90pct,1000,0,16,5,696799
LEAP,Hotspot_90pct,1000,0,16,6,732646
Serial,Uniform,1000,1,1,0,1163850
Serial,Uniform,1000,1,1,1,1159140
Serial,Uniform,1000,1,1,2,1158432
Serial,Uniform,1000,1,1,3,1158505
Serial,Uniform,1000,1,1,4,1161085
Serial,Uniform,1000,1,1,5,1163476
Serial,Uniform,1000,1,1,6,1161557
LEAP-base,Uniform,1000,1,1,0,240670
LEAP-base,Uniform,1000,1,1,1,239479
LEAP-base,Uniform,1000,1,1,2,208172
LEAP-base,Uniform,1000,1,1,3,228344
LEAP-base,Uniform,1000,1,1,4,229372
LEAP-base,Uniform,1000,1,1,5,237058
LEAP-base,Uniform,1000,1,1,6,235985
LEAP-base,Uniform,1000,1,2,0,309798
LEAP-base,Uniform,1000,1,2,1,273045
LEAP-base,Uniform,1000,1,2,2,317243
LEAP-base,Uniform,1000,1,2,3,265865
LEAP-base,Uniform,1000,1,2,4,300960
LEAP-base,Uniform,1000,1,2,5,279085
LEAP-base,Uniform,1000,1,2,6,284226
LEAP-base,Uniform,1000,1,4,0,368446
LEAP-base,Uniform,1000,1,4,1,424334
LEAP-base,Uniform,1000,1,4,2,371862
LEAP-base,Uniform,1000,1,4,3,297067
LEAP-base,Uniform,1000,1,4,4,297013
LEAP-base,Uniform,1000,1,4,5,319686
LEAP-base,Uniform,1000,1,4,6,346928
LEAP-base,Uniform,1000,1,8,0,506271
LEAP-base,Uniform,1000,1,8,1,468801
LEAP-base,Uniform,1000,1,8,2,440956
LEAP-base,Uniform,1000,1,8,3,541639
LEAP-base,Uniform,1000,1,8,4,519499
LEAP-base,Uniform,1000,1,8,5,287791
LEAP-base,Uniform,1000,1,8,6,533728
LEAP-base,Uniform,1000,1,16,0,749103
LEAP-base,Uniform,1000,1,16,1,633368
LEAP-base,Uniform,1000,1,16,2,296488
LEAP-base,Uniform,1000,1,16,3,557788
LEAP-base,Uniform,1000,1,16,4,776443
LEAP-base,Uniform,1000,1,16,5,499022
LEAP-base,Uniform,1000,1,16,6,370208
LEAP,Uniform,1000,1,1,0,228293
LEAP,Uniform,1000,1,1,1,234103
LEAP,Uniform,1000,1,1,2,235195
LEAP,Uniform,1000,1,1,3,240478
LEAP,Uniform,1000,1,1,4,238315
LEAP,Uniform,1000,1,1,5,235843
LEAP,Uniform,1000,1,1,6,236010
LEAP,Uniform,1000,1,2,0,323286
LEAP,Uniform,1000,1,2,1,327008
LEAP,Uniform,1000,1,2,2,314611
LEAP,Uniform,1000,1,2,3,299984
LEAP,Uniform,1000,1,2,4,296297
LEAP,Uniform,1000,1,2,5,302627
LEAP,Uniform,1000,1,2,6,293532
LEAP,Uniform,1000,1,4,0,382652
LEAP,Uniform,1000,1,4,1,305987
LEAP,Uniform,1000,1,4,2,312857
LEAP,Uniform,1000,1,4,3,378312
LEAP,Uniform,1000,1,4,4,385721
LEAP,Uniform,1000,1,4,5,354856
LEAP,Uniform,1000,1,4,6,347535
LEAP,Uniform,1000,1,8,0,552329
LEAP,Uniform,1000,1,8,1,494309
LEAP,Uniform,1000,1,8,2,500961
LEAP,Uniform,1000,1,8,3,598304
LEAP,Uniform,1000,1,8,4,566015
LEAP,Uniform,1000,1,8,5,526691
LEAP,Uniform,1000,1,8,6,491367
LEAP,Uniform,1000,1,16,0,856819
LEAP,Uniform,1000,1,16,1,900460
LEAP,Uniform,1000,1,16,2,816104
LEAP,Uniform,1000,1,16,3,668051
LEAP,Uniform,1000,1,16,4,354809
LEAP,Uniform,1000,1,16,5,406911
LEAP,Uniform,1000,1,16,6,808169
Serial,Hotspot_90pct,1000,1,1,0,1161333
Serial,Hotspot_90pct,1000,1,1,1,1158526
Serial,Hotspot_90pct,1000,1,1,2,1161617
Serial,Hotspot_90pct,1000,1,1,3,1157404
Serial,Hotspot_90pct,1000,1,1,4,1159714
