engine,scenario,accounts,overhead_us,threads,run,tps
Serial,Uniform,1000,0,1,0,300661455
Serial,Uniform,1000,0,1,1,298427288
Serial,Uniform,1000,0,1,2,290875244
Serial,Uniform,1000,0,1,3,296041920
Serial,Uniform,1000,0,1,4,300941948
Serial,Uniform,1000,0,1,5,299949009
Serial,Uniform,1000,0,1,6,296041920
LEAP-base,Uniform,1000,0,4,0,355213
LEAP-base,Uniform,1000,0,4,1,392218
LEAP-base,Uniform,1000,0,4,2,412279
LEAP-base,Uniform,1000,0,4,3,332373
LEAP-base,Uniform,1000,0,4,4,388168
LEAP-base,Uniform,1000,0,4,5,359902
LEAP-base,Uniform,1000,0,4,6,420877
Serial,Uniform,1000,1,1,0,1160738
Serial,Uniform,1000,1,1,1,1160345
Serial,Uniform,1000,1,1,2,1157719
Serial,Uniform,1000,1,1,3,1160159
Serial,Uniform,1000,1,1,4,1162368
Serial,Uniform,1000,1,1,5,1165459
Serial,Uniform,1000,1,1,6,1157152
LEAP-base,Uniform,1000,1,4,0,383698
LEAP-base,Uniform,1000,1,4,1,380090
LEAP-base,Uniform,1000,1,4,2,332348
LEAP-base,Uniform,1000,1,4,3,330498
LEAP-base,Uniform,1000,1,4,4,374652
LEAP-base,Uniform,1000,1,4,5,357888
LEAP-base,Uniform,1000,1,4,6,354759
Serial,Uniform,1000,3,1,0,388236
Serial,Uniform,1000,3,1,1,387674
Serial,Uniform,1000,3,1,2,387681
Serial,Uniform,1000,3,1,3,387521
Serial,Uniform,1000,3,1,4,388112
Serial,Uniform,1000,3,1,5,387695
Serial,Uniform,1000,3,1,6,387599
LEAP-base,Uniform,1000,3,4,0,342103
LEAP-base,Uniform,1000,3,4,1,333876
LEAP-base,Uniform,1000,3,4,2,322181
LEAP-base,Uniform,1000,3,4,3,318333
LEAP-base,Uniform,1000,3,4,4,324535
LEAP-base,Uniform,1000,3,4,5,347939
LEAP-base,Uniform,1000,3,4,6,323652
Serial,Uniform,1000,10,1,0,115878
Serial,Uniform,1000,10,1,1,115991
Serial,Uniform,1000,10,1,2,116741
Serial,Uniform,1000,10,1,3,116391
Serial,Uniform,1000,10,1,4,116403
Serial,Uniform,1000,10,1,5,116525
Serial,Uniform,1000,10,1,6,116532
LEAP-base,Uniform,1000,10,4,0,272166
LEAP-base,Uniform,1000,10,4,1,275315
LEAP-base,Uniform,1000,10,4,2,270415
LEAP-base,Uniform,1000,10,4,3,273917
LEAP-base,Uniform,1000,10,4,4,271363
LEAP-base,Uniform,1000,10,4,5,279459
LEAP-base,Uniform,1000,10,4,6,272828
Serial,Uniform,1000,50,1,0,23230
Serial,Uniform,1000,50,1,1,23244
Serial,Uniform,1000,50,1,2,23298
Serial,Uniform,1000,50,1,3,23294
Serial,Uniform,1000,50,1,4,23302
Serial,Uniform,1000,50,1,5,23283
Serial,Uniform,1000,50,1,6,23286
LEAP-base,Uniform,1000,50,4,0,80682
LEAP-base,Uniform,1000,50,4,1,79631
LEAP-base,Uniform,1000,50,4,2,79461
LEAP-base,Uniform,1000,50,4,3,80702
LEAP-base,Uniform,1000,50,4,4,80426
LEAP-base,Uniform,1000,50,4,5,81913
LEAP-base,Uniform,1000,50,4,6,82264
Serial,Uniform,1000,100,1,0,11644
Serial,Uniform,1000,100,1,1,11656
Serial,Uniform,1000,100,1,2,11652
Serial,Uniform,1000,100,1,3,11661
Serial,Uniform,1000,100,1,4,11657
Serial,Uniform,1000,100,1,5,11659
Serial,Uniform,1000,100,1,6,11657
LEAP-base,Uniform,1000,100,4,0,41388
LEAP-base,Uniform,1000,100,4,1,41962
LEAP-base,Uniform,1000,100,4,2,41433
LEAP-base,Uniform,1000,100,4,3,42219
LEAP-base,Uniform,1000,100,4,4,42546
LEAP-base,Uniform,1000,100,4,5,41246
LEAP-base,Uniform,1000,100,4,6,41827
Serial,Uniform,1000,10,1,0,114274
Serial,Uniform,1000,10,1,1,116284
Serial,Uniform,1000,10,1,2,116823
Serial,Uniform,1000,10,1,3,116670
Serial,Uniform,1000,10,1,4,115730
Serial,Uniform,1000,10,1,5,116634
Serial,Uniform,1000,10,1,6,116563
LEAP-base,Uniform,1000,10,1,0,82392
LEAP-base,Uniform,1000,10,1,1,82058
LEAP-base,Uniform,1000,10,1,2,82258
LEAP-base,Uniform,1000,10,1,3,81930
LEAP-base,Uniform,1000,10,1,4,82148
LEAP-base,Uniform,1000,10,1,5,81942
LEAP-base,Uniform,1000,10,1,6,82646
LEAP-base,Uniform,1000,10,2,0,156723
LEAP-base,Uniform,1000,10,2,1,153901
LEAP-base,Uniform,1000,10,2,2,154608
LEAP-base,Uniform,1000,10,2,3,152327
LEAP-base,Uniform,1000,10,2,4,157216
LEAP-base,Uniform,1000,10,2,5,159603
LEAP-base,Uniform,1000,10,2,6,153472
LEAP-base,Uniform,1000,10,4,0,271231
LEAP-base,Uniform,1000,10,4,1,270004
LEAP-base,Uniform,1000,10,4,2,266012
LEAP-base,Uniform,1000,10,4,3,273801
LEAP-base,Uniform,1000,10,4,4,274073
LEAP-base,Uniform,1000,10,4,5,267578
LEAP-base,Uniform,1000,10,4,6,271083
LEAP-base,Uniform,1000,10,8,0,391933
LEAP-base,Uniform,1000,10,8,1,395464
LEAP-base,Uniform,1000,10,8,2,378376
LEAP-base,Uniform,1000,10,8,3,420625
LEAP-base,Uniform,1000,10,8,4,419816
LEAP-base,Uniform,1000,10,8,5,389351
LEAP-base,Uniform,1000,10,8,6,396167
LEAP-base,Uniform,1000,10,16,0,521589
LEAP-base,Uniform,1000,10,16,1,292705
LEAP-base,Uniform,1000,10,16,2,660660
LEAP-base,Uniform,1000,10,16,3,407181
LEAP-base,Uniform,1000,10,16,4,697900
LEAP-base,Uniform,1000,10,16,5,300157
LEAP-base,Uniform,1000,10,16,6,330904
LEAP,Uniform,1000,10,1,0,81067
LEAP,Uniform,1000,10,1,1,81013
LEAP,Uniform,1000,10,1,2,81544
LEAP,Uniform,1000,10,1,3,81598
LEAP,Uniform,1000,10,1,4,81407
LEAP,Uniform,1000,10,1,5,85068
LEAP,Uniform,1000,10,1,6,81344
LEAP,Uniform,1000,10,2,0,154322
LEAP,Uniform,1000,10,2,1,154198
LEAP,Uniform,1000,10,2,2,147520
LEAP,Uniform,1000,10,2,3,151413
LEAP,Uniform,1000,10,2,4,155760
LEAP,Uniform,1000,10,2,5,151994
LEAP,Uniform,1000,10,2,6,152866
LEAP,Uniform,1000,10,4,0,283215
LEAP,Uniform,1000,10,4,1,281621
LEAP,Uniform,1000,10,4,2,260263
LEAP,Uniform,1000,10,4,3,272714
LEAP,Uniform,1000,10,4,4,272379
LEAP,Uniform,1000,10,4,5,274689
LEAP,Uniform,1000,10,4,6,272088
LEAP,Uniform,1000,10,8,0,409307
LEAP,Uniform,1000,10,8,1,433597
LEAP,Uniform,1000,10,8,2,439192
LEAP,Uniform,1000,10,8,3,415580
LEAP,Uniform,1000,10,8,4,406521
LEAP,Uniform,1000,10,8,5,422857
LEAP,Uniform,1000,10,8,6,431552
LEAP,Uniform,1000,10,16,0,670362
LEAP,Uniform,1000,10,16,1,531019
LEAP,Uniform,1000,10,16,2,581858
LEAP,Uniform,1000,10,16,3,409222
LEAP,Uniform,1000,10,16,4,304089
LEAP,Uniform,1000,10,16,5,686943
LEAP,Uniform,1000,10,16,6,542614
Serial,Hotspot_90pct,1000,10,1,0,116590
Serial,Hotspot_90pct,1000,10,1,1,116621
Serial,Hotspot_90pct,1000,10,1,2,116695
Serial,Hotspot_90pct,1000,10,1,3,116680
Serial,Hotspot_90pct,1000,10,1,4,116743
Serial,Hotspot_90pct,1000,10,1,5,116608
Serial,Hotspot_90pct,1000,10,1,6,116747
LEAP-base,Hotspot_90pct,1000,10,1,0,81686
LEAP-base,Hotspot_90pct,1000,10,1,1,81386
