engine,scenario,accounts,overhead_us,threads,run,tps
LEAP,Uniform,1000,10,2,6,141150
LEAP,Uniform,1000,10,4,0,232674
LEAP,Uniform,1000,10,4,1,218070
LEAP,Uniform,1000,10,4,2,241147
LEAP,Uniform,1000,10,4,3,219372
LEAP,Uniform,1000,10,4,4,235833
LEAP,Uniform,1000,10,4,5,223394
LEAP,Uniform,1000,10,4,6,228561
LEAP,Uniform,1000,10,8,0,328425
LEAP,Uniform,1000,10,8,1,343466
LEAP,Uniform,1000,10,8,2,330052
LEAP,Uniform,1000,10,8,3,344551
LEAP,Uniform,1000,10,8,4,323805
LEAP,Uniform,1000,10,8,5,345850
LEAP,Uniform,1000,10,8,6,324660
LEAP,Uniform,1000,10,16,0,338561
LEAP,Uniform,1000,10,16,1,340252
LEAP,Uniform,1000,10,16,2,310091
LEAP,Uniform,1000,10,16,3,272551
LEAP,Uniform,1000,10,16,4,341978
LEAP,Uniform,1000,10,16,5,301184
LEAP,Uniform,1000,10,16,6,300123
Serial,Hotspot_90pct,1000,10,1,0,113984
Serial,Hotspot_90pct,1000,10,1,1,114182
Serial,Hotspot_90pct,1000,10,1,2,114347
Serial,Hotspot_90pct,1000,10,1,3,114237
Serial,Hotspot_90pct,1000,10,1,4,114254
Serial,Hotspot_90pct,1000,10,1,5,114684
Serial,Hotspot_90pct,1000,10,1,6,114038
LEAP-base,Hotspot_90pct,1000,10,1,0,73896
LEAP-base,Hotspot_90pct,1000,10,1,1,74131
LEAP-base,Hotspot_90pct,1000,10,1,2,75115
LEAP-base,Hotspot_90pct,1000,10,1,3,73990
LEAP-base,Hotspot_90pct,1000,10,1,4,74666
LEAP-base,Hotspot_90pct,1000,10,1,5,74849
LEAP-base,Hotspot_90pct,1000,10,1,6,75006
LEAP-base,Hotspot_90pct,1000,10,2,0,124952
LEAP-base,Hotspot_90pct,1000,10,2,1,130179
LEAP-base,Hotspot_90pct,1000,10,2,2,127032
LEAP-base,Hotspot_90pct,1000,10,2,3,126348
LEAP-base,Hotspot_90pct,1000,10,2,4,124538
LEAP-base,Hotspot_90pct,1000,10,2,5,131523
LEAP-base,Hotspot_90pct,1000,10,2,6,126855
LEAP-base,Hotspot_90pct,1000,10,4,0,127564
LEAP-base,Hotspot_90pct,1000,10,4,1,123331
LEAP-base,Hotspot_90pct,1000,10,4,2,118606
LEAP-base,Hotspot_90pct,1000,10,4,3,123593
LEAP-base,Hotspot_90pct,1000,10,4,4,116166
LEAP-base,Hotspot_90pct,1000,10,4,5,126951
LEAP-base,Hotspot_90pct,1000,10,4,6,127478
LEAP-base,Hotspot_90pct,1000,10,8,0,85928
LEAP-base,Hotspot_90pct,1000,10,8,1,86862
LEAP-base,Hotspot_90pct,1000,10,8,2,86119
LEAP-base,Hotspot_90pct,1000,10,8,3,87424
LEAP-base,Hotspot_90pct,1000,10,8,4,86182
LEAP-base,Hotspot_90pct,1000,10,8,5,86354
LEAP-base,Hotspot_90pct,1000,10,8,6,87349
LEAP-base,Hotspot_90pct,1000,10,16,0,46932
LEAP-base,Hotspot_90pct,1000,10,16,1,52537
LEAP-base,Hotspot_90pct,1000,10,16,2,68254
LEAP-base,Hotspot_90pct,1000,10,16,3,60716
LEAP-base,Hotspot_90pct,1000,10,16,4,63970
LEAP-base,Hotspot_90pct,1000,10,16,5,54033
LEAP-base,Hotspot_90pct,1000,10,16,6,51025
LEAP,Hotspot_90pct,1000,10,1,0,79345
LEAP,Hotspot_90pct,1000,10,1,1,78282
LEAP,Hotspot_90pct,1000,10,1,2,78936
LEAP,Hotspot_90pct,1000,10,1,3,78409
LEAP,Hotspot_90pct,1000,10,1,4,79489
LEAP,Hotspot_90pct,1000,10,1,5,78100
LEAP,Hotspot_90pct,1000,10,1,6,79332
LEAP,Hotspot_90pct,1000,10,2,0,137267
LEAP,Hotspot_90pct,1000,10,2,1,140842
LEAP,Hotspot_90pct,1000,10,2,2,135009
LEAP,Hotspot_90pct,1000,10,2,3,138873
LEAP,Hotspot_90pct,1000,10,2,4,137826
LEAP,Hotspot_90pct,1000,10,2,5,137579
LEAP,Hotspot_90pct,1000,10,2,6,140020
LEAP,Hotspot_90pct,1000,10,4,0,142802
LEAP,Hotspot_90pct,1000,10,4,1,150065
LEAP,Hotspot_90pct,1000,10,4,2,151217
LEAP,Hotspot_90pct,1000,10,4,3,148869
LEAP,Hotspot_90pct,1000,10,4,4,147491
LEAP,Hotspot_90pct,1000,10,4,5,152326
LEAP,Hotspot_90pct,1000,10,4,6,152137
LEAP,Hotspot_90pct,1000,10,8,0,142326
LEAP,Hotspot_90pct,1000,10,8,1,143382
LEAP,Hotspot_90pct,1000,10,8,2,137472
LEAP,Hotspot_90pct,1000,10,8,3,139850
LEAP,Hotspot_90pct,1000,10,8,4,145044
LEAP,Hotspot_90pct,1000,10,8,5,139098
LEAP,Hotspot_90pct,1000,10,8,6,140026
LEAP,Hotspot_90pct,1000,10,16,0,107443
LEAP,Hotspot_90pct,1000,10,16,1,95373
LEAP,Hotspot_90pct,1000,10,16,2,112721
LEAP,Hotspot_90pct,1000,10,16,3,111169
LEAP,Hotspot_90pct,1000,10,16,4,103737
LEAP,Hotspot_90pct,1000,10,16,5,88109
LEAP,Hotspot_90pct,1000,10,16,6,107651
Serial,Uniform,1000,50,1,0,23247
Serial,Uniform,1000,50,1,1,23246
Serial,Uniform,1000,50,1,2,23243
Serial,Uniform,1000,50,1,3,23245
Serial,Uniform,1000,50,1,4,23249
Serial,Uniform,1000,50,1,5,23244
Serial,Uniform,1000,50,1,6,23247
LEAP-base,Uniform,1000,50,1,0,20995
LEAP-base,Uniform,1000,50,1,1,20900
LEAP-base,Uniform,1000,50,1,2,20932
LEAP-base,Uniform,1000,50,1,3,20929
LEAP-base,Uniform,1000,50,1,4,20965
LEAP-base,Uniform,1000,50,1,5,20931
LEAP-base,Uniform,1000,50,1,6,21008
LEAP-base,Uniform,1000,50,2,0,39991
LEAP-base,Uniform,1000,50,2,1,41108
LEAP-base,Uniform,1000,50,2,2,40863
LEAP-base,Uniform,1000,50,2,3,41211
LEAP-base,Uniform,1000,50,2,4,40736
LEAP-base,Uniform,1000,50,2,5,41108
LEAP-base,Uniform,1000,50,2,6,40800
LEAP-base,Uniform,1000,50,4,0,80947
LEAP-base,Uniform,1000,50,4,1,79633
LEAP-base,Uniform,1000,50,4,2,81164
LEAP-base,Uniform,1000,50,4,3,79626
LEAP-base,Uniform,1000,50,4,4,81003
LEAP-base,Uniform,1000,50,4,5,78982
LEAP-base,Uniform,1000,50,4,6,78437
LEAP-base,Uniform,1000,50,8,0,138549
LEAP-base,Uniform,1000,50,8,1,142226
LEAP-base,Uniform,1000,50,8,2,143429
LEAP-base,Uniform,1000,50,8,3,147934
LEAP-base,Uniform,1000,50,8,4,142679
LEAP-base,Uniform,1000,50,8,5,142357
LEAP-base,Uniform,1000,50,8,6,138553
LEAP-base,Uniform,1000,50,16,0,225256
LEAP-base,Uniform,1000,50,16,1,225063
LEAP-base,Uniform,1000,50,16,2,170567
LEAP-base,Uniform,1000,50,16,3,197432
LEAP-base,Uniform,1000,50,16,4,211080
LEAP-base,Uniform,1000,50,16,5,182343
LEAP-base,Uniform,1000,50,16,6,209529
LEAP,Uniform,1000,50,1,0,21008
LEAP,Uniform,1000,50,1,1,21095
LEAP,Uniform,1000,50,1,2,21020
LEAP,Uniform,1000,50,1,3,21071
LEAP,Uniform,1000,50,1,4,21085
LEAP,Uniform,1000,50,1,5,21050
LEAP,Uniform,1000,50,1,6,21146
LEAP,Uniform,1000,50,2,0,41274
LEAP,Uniform,1000,50,2,1,41147
LEAP,Uniform,1000,50,2,2,41133
LEAP,Uniform,1000,50,2,3,41328
LEAP,Uniform,1000,50,2,4,41114
LEAP,Uniform,1000,50,2,5,41323
LEAP,Uniform,1000,50,2,6,41303
LEAP,Uniform,1000,50,4,0,80181
LEAP,Uniform,1000,50,4,1,79532
LEAP,Uniform,1000,50,4,2,80325
LEAP,Uniform,1000,50,4,3,78243
LEAP,Uniform,1000,50,4,4,80697
LEAP,Uniform,1000,50,4,5,79486
LEAP,Uniform,1000,50,4,6,80289
LEAP,Uniform,1000,50,8,0,135417
LEAP,Uniform,1000,50,8,1,128879
LEAP,Uniform,1000,50,8,2,125818
LEAP,Uniform,1000,50,8,3,125232
LEAP,Uniform,1000,50,8,4,127578
LEAP,Uniform,1000,50,8,5,131910
LEAP,Uniform,1000,50,8,6,128266
LEAP,Uniform,1000,50,16,0,197022
LEAP,Uniform,1000,50,16,1,188324
LEAP,Uniform,1000,50,16,2,204273
LEAP,Uniform,1000,50,16,3,199119
LEAP,Uniform,1000,50,16,4,207963
LEAP,Uniform,1000,50,16,5,194511
LEAP,Uniform,1000,50,16,6,185011
Serial,Hotspot_90pct,1000,50,1,0,23243
Serial,Hotspot_90pct,1000,50,1,1,23245
Serial,Hotspot_90pct,1000,50,1,2,23242
Serial,Hotspot_90pct,1000,50,1,3,23245
Serial,Hotspot_90pct,1000,50,1,4,23248
Serial,Hotspot_90pct,1000,50,1,5,23247
Serial,Hotspot_90pct,1000,50,1,6,23244
LEAP-base,Hotspot_90pct,1000,50,1,0,20889
LEAP-base,Hotspot_90pct,1000,50,1,1,20922
LEAP-base,Hotspot_90pct,1000,50,1,2,20940
LEAP-base,Hotspot_90pct,1000,50,1,3,21047
LEAP-base,Hotspot_90pct,1000,50,1,4,20865
LEAP-base,Hotspot_90pct,1000,50,1,5,20940
LEAP-base,Hotspot_90pct,1000,50,1,6,20884
LEAP-base,Hotspot_90pct,1000,50,2,0,39836
LEAP-base,Hotspot_90pct,1000,50,2,1,39814
LEAP-base,Hotspot_90pct,1000,50,2,2,39892
LEAP-base,Hotspot_90pct,1000,50,2,3,39433
LEAP-base,Hotspot_90pct,1000,50,2,4,40082
LEAP-base,Hotspot_90pct,1000,50,2,5,39816
LEAP-base,Hotspot_90pct,1000,50,2,6,40013
