engine,scenario,accounts,overhead_us,threads,run,tps
Serial,Uniform,1000,0,1,0,300670495
Serial,Uniform,1000,0,1,1,301213892
Serial,Uniform,1000,0,1,2,301486328
Serial,Uniform,1000,0,1,3,301313728
Serial,Uniform,1000,0,1,4,299589562
Serial,Uniform,1000,0,1,5,299760192
Serial,Uniform,1000,0,1,6,301204819
LEAP-base,Uniform,1000,0,1,0,638965
LEAP-base,Uniform,1000,0,1,1,637205
LEAP-base,Uniform,1000,0,1,2,631244
LEAP-base,Uniform,1000,0,1,3,609233
LEAP-base,Uniform,1000,0,1,4,578358
LEAP-base,Uniform,1000,0,1,5,521744
LEAP-base,Uniform,1000,0,1,6,611728
LEAP-base,Uniform,1000,0,2,0,403465
LEAP-base,Uniform,1000,0,2,1,324528
LEAP-base,Uniform,1000,0,2,2,375723
LEAP-base,Uniform,1000,0,2,3,355552
LEAP-base,Uniform,1000,0,2,4,347334
LEAP-base,Uniform,1000,0,2,5,332391
LEAP-base,Uniform,1000,0,2,6,328456
LEAP-base,Uniform,1000,0,4,0,364505
LEAP-base,Uniform,1000,0,4,1,353280
LEAP-base,Uniform,1000,0,4,2,412567
LEAP-base,Uniform,1000,0,4,3,353315
LEAP-base,Uniform,1000,0,4,4,413060
LEAP-base,Uniform,1000,0,4,5,368238
LEAP-base,Uniform,1000,0,4,6,473928
LEAP-base,Uniform,1000,0,8,0,460038
LEAP-base,Uniform,1000,0,8,1,478465
LEAP-base,Uniform,1000,0,8,2,568054
LEAP-base,Uniform,1000,0,8,3,603833
LEAP-base,Uniform,1000,0,8,4,547167
LEAP-base,Uniform,1000,0,8,5,587555
LEAP-base,Uniform,1000,0,8,6,549347
LEAP-base,Uniform,1000,0,16,0,825157
LEAP-base,Uniform,1000,0,16,1,759504
LEAP-base,Uniform,1000,0,16,2,744215
LEAP-base,Uniform,1000,0,16,3,693581
LEAP-base,Uniform,1000,0,16,4,597663
LEAP-base,Uniform,1000,0,16,5,398323
LEAP-base,Uniform,1000,0,16,6,337566
LEAP,Uniform,1000,0,1,0,301110
LEAP,Uniform,1000,0,1,1,301329
LEAP,Uniform,1000,0,1,2,300971
LEAP,Uniform,1000,0,1,3,298451
LEAP,Uniform,1000,0,1,4,305899
