experiment,system,variable,nodes,workers,rate,run,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,with_exec_tps,with_exec_bps,with_exec_latency_ms,duration_s
E2E-1,Tusk+Serial,30000,4,1,30000,2,27631.0,14147090.0,983.0,27553.0,14106933.0,1150.0,27570.0,14115654.0,1134.0,60.0
E2E-1,Tusk+Serial,30000,4,1,30000,3,24498.0,12542835.0,875.0,24427.0,12506643.0,1045.0,24384.0,12484500.0,988.0,60.0
E2E-1,Tusk+Serial,50000,4,1,50000,1,43329.0,22184445.0,934.0,43204.0,22120257.0,1078.0,42855.0,21941775.0,1175.0,60.0
E2E-1,Tusk+Serial,50000,4,1,50000,2,41986.0,21496580.0,868.0,41864.0,21434598.0,1012.0,41650.0,21324723.0,1050.0,60.0
E2E-1,Tusk+Serial,50000,4,1,50000,3,39936.0,20447039.0,901.0,39820.0,20388000.0,1045.0,39774.0,20364269.0,1075.0,60.0
E2E-1,Tusk+Serial,70000,4,1,70000,1,58894.0,30153474.0,1031.0,58720.0,30064774.0,1162.0,58624.0,30015278.0,1423.0,60.0
E2E-1,Tusk+Serial,70000,4,1,70000,2,63337.0,32428511.0,922.0,63153.0,32334410.0,1055.0,62428.0,31963328.0,1208.0,60.0
E2E-1,Tusk+Serial,70000,4,1,70000,3,58290.0,29844361.0,805.0,58121.0,29758132.0,937.0,57633.0,29507994.0,1032.0,60.0
E2E-1,Tusk+Serial,100000,4,1,100000,1,87376.0,44736498.0,815.0,87123.0,44607125.0,946.0,84324.0,43173797.0,1648.0,59.0
E2E-1,Tusk+Serial,100000,4,1,100000,2,85236.0,43640935.0,914.0,84986.0,43512710.0,1048.0,82435.0,42206609.0,1632.0,60.0
E2E-1,Tusk+Serial,100000,4,1,100000,3,83957.0,42986035.0,877.0,83710.0,42859627.0,1009.0,81647.0,41803102.0,1686.0,60.0
E2E-2,MP3+LEAP,Uniform,4,1,50000,1,42113.0,21561668.0,587.0,41988.0,21497712.0,732.0,42082.0,21545823.0,626.0,60.0
E2E-2,MP3+LEAP,Uniform,4,1,50000,2,40345.0,20656590.0,565.0,40229.0,20597017.0,708.0,40225.0,20595149.0,601.0,60.0
E2E-2,MP3+LEAP,Uniform,4,1,50000,3,42108.0,21559214.0,558.0,41986.0,21496968.0,702.0,42063.0,21536505.0,596.0,60.0
E2E-2,MP3+LEAP,Zipf_0.8,4,1,50000,1,41806.0,21404926.0,548.0,41686.0,21343135.0,693.0,41769.0,21385601.0,588.0,60.0
E2E-2,MP3+LEAP,Zipf_0.8,4,1,50000,2,43617.0,22332100.0,578.0,43489.0,22266622.0,724.0,43550.0,22297699.0,618.0,60.0
E2E-2,MP3+LEAP,Zipf_0.8,4,1,50000,3,40150.0,20556577.0,539.0,40034.0,20497220.0,682.0,40120.0,20541448.0,576.0,60.0
E2E-2,MP3+LEAP,Zipf_1.2,4,1,50000,1,40781.0,20879962.0,553.0,40664.0,20820075.0,697.0,40747.0,20862518.0,591.0,60.0
E2E-2,MP3+LEAP,Zipf_1.2,4,1,50000,2,46990.0,24059121.0,529.0,46855.0,23989739.0,676.0,46948.0,24037421.0,569.0,60.0
E2E-2,MP3+LEAP,Zipf_1.2,4,1,50000,3,42697.0,21860818.0,585.0,42572.0,21797070.0,731.0,42642.0,21832787.0,625.0,60.0
E2E-2,MP3+LEAP,Hotspot_50pct,4,1,50000,1,43274.0,22156472.0,528.0,43150.0,22092886.0,672.0,43209.0,22123155.0,569.0,60.0
E2E-2,MP3+LEAP,Hotspot_50pct,4,1,50000,2,43859.0,22455656.0,541.0,43733.0,22391241.0,686.0,43821.0,22436518.0,584.0,60.0
E2E-2,MP3+LEAP,Hotspot_50pct,4,1,50000,3,47537.0,24338973.0,513.0,47402.0,24270010.0,659.0,47459.0,24298862.0,553.0,60.0
E2E-2,MP3+LEAP,Hotspot_90pct,4,1,50000,1,44041.0,22549127.0,561.0,43915.0,22484416.0,706.0,43968.0,22511459.0,614.0,60.0
E2E-2,MP3+LEAP,Hotspot_90pct,4,1,50000,2,41482.0,21238804.0,543.0,41362.0,21177561.0,687.0,41418.0,21205774.0,589.0,60.0
E2E-2,MP3+LEAP,Hotspot_90pct,4,1,50000,3,43009.0,22020703.0,578.0,42886.0,21957512.0,723.0,42963.0,21997148.0,629.0,60.0
E2E-2,Tusk+LeapBase,Uniform,4,1,50000,1,41841.0,21422708.0,869.0,41722.0,21361432.0,1015.0,41775.0,21388981.0,966.0,60.0
E2E-2,Tusk+LeapBase,Uniform,4,1,50000,2,43325.0,22182246.0,868.0,43200.0,22118376.0,1014.0,43128.0,22081566.0,979.0,59.0
E2E-2,Tusk+LeapBase,Uniform,4,1,50000,3,43225.0,22131437.0,770.0,43102.0,22068338.0,915.0,43015.0,22023491.0,844.0,60.0
E2E-2,Tusk+LeapBase,Zipf_0.8,4,1,50000,1,45682.0,23389018.0,888.0,45550.0,23321600.0,1036.0,45457.0,23274015.0,1031.0,60.0
E2E-2,Tusk+LeapBase,Zipf_0.8,4,1,50000,2,45304.0,23195414.0,929.0,45173.0,23128700.0,1075.0,45118.0,23100500.0,1108.0,60.0
E2E-2,Tusk+LeapBase,Zipf_0.8,4,1,50000,3,44838.0,22957180.0,793.0,44707.0,22890208.0,940.0,44556.0,22812661.0,886.0,60.0
