experiment,system,variable,nodes,workers,rate,run,stablecoin_tps,stablecoin_latency_ms,committed_txns,executed_txns,exec_ratio,e2e_tps,e2e_bps,e2e_latency_ms,with_exec_tps,with_exec_bps,with_exec_latency_ms,duration_s
Exp-B,Tusk+LeapBase,30000,4,1,30000,3,5740.0,23682.0,1584467.0,347500.0,0.2193,26174.0,13401069.0,1039.0,6455.0,3304724.0,23519.0,61.0
Exp-B,MP3+LEAP,50000,4,1,50000,1,19945.0,15901.0,2873357.0,1205000.0,0.4194,47560.0,24350483.0,620.0,23744.0,12157070.0,15763.0,60.0
Exp-B,Tusk+LeapBase,50000,4,1,50000,1,5744.0,26505.0,2775657.0,347500.0,0.1252,45879.0,23489858.0,880.0,6847.0,3505778.0,26399.0,60.0
Exp-B,MP3+LEAP,50000,4,1,50000,2,18369.0,16747.0,2994505.0,1112500.0,0.3715,49444.0,25315565.0,591.0,22866.0,11707247.0,16602.0,61.0
Exp-B,Tusk+LeapBase,50000,4,1,50000,2,5791.0,26814.0,2584790.0,350000.0,0.1354,42767.0,21896664.0,1063.0,6662.0,3410947.0,26772.0,60.0
Exp-B,MP3+LEAP,50000,4,1,50000,3,18298.0,15233.0,2750880.0,1107500.0,0.4026,45450.0,23270559.0,657.0,22837.0,11692694.0,15092.0,61.0
Exp-B,Tusk+LeapBase,50000,4,1,50000,3,5559.0,27108.0,2653532.0,335000.0,0.1262,44030.0,22543156.0,938.0,6477.0,3316375.0,27069.0,60.0
Exp-B,MP3+LEAP,100000,4,1,100000,1,17857.0,22078.0,5567711.0,1080000.0,0.194,92059.0,47134061.0,665.0,26832.0,13738138.0,21964.0,60.0
Exp-B,Tusk+LeapBase,100000,4,1,100000,1,4706.0,28437.0,5583408.0,285000.0,0.051,92189.0,47200609.0,943.0,7657.0,3920601.0,28476.0,61.0
Exp-B,MP3+LEAP,100000,4,1,100000,2,19861.0,22506.0,5696762.0,1200000.0,0.2106,94284.0,48273649.0,643.0,27635.0,14149307.0,22433.0,60.0
Exp-B,Tusk+LeapBase,100000,4,1,100000,2,4591.0,27878.0,5481890.0,277500.0,0.0506,90688.0,46432102.0,931.0,7522.0,3851317.0,27905.0,60.0
Exp-B,MP3+LEAP,100000,4,1,100000,3,14567.0,25958.0,5332804.0,880000.0,0.165,88275.0,45196995.0,702.0,21142.0,10824628.0,25853.0,60.0
Exp-B,Tusk+LeapBase,100000,4,1,100000,3,4300.0,25808.0,5362015.0,260000.0,0.0485,88688.0,45408486.0,944.0,6924.0,3545274.0,25913.0,60.0
